"Bostadsrätter i Limhamn-Bunkeflo, de senaste 48 månaderna",,
,,
Månad,kr/kvm,antal försäljningar
jul -17,31267,36
aug -17,31743,44
sep -17,30868,63
okt -17,30095,60
nov -17,29249,32
dec -17,30633,23
jan -18,31121,41
feb -18,30609,38
mar -18,30335,32
apr -18,30973,45
maj -18,30472,46
jun -18,31534,40
jul -18,31084,26
aug -18,31777,59
sep -18,30402,51
okt -18,30364,94
nov -18,30052,56
dec -18,30907,32
jan -19,30696,47
feb -19,31258,47
mar -19,30749,66
apr -19,31238,50
maj -19,31423,60
jun -19,31922,53
jul -19,31761,44
aug -19,32605,56
sep -19,33110,54
okt -19,33600,57
nov -19,33029,54
dec -19,32616,30
jan -20,32274,56
feb -20,32230,47
mar -20,32213,46
apr -20,32729,53
maj -20,32421,50
jun -20,33156,53
jul -20,33364,82
aug -20,34615,59
sep -20,34834,66
okt -20,35178,60
nov -20,34774,46
dec -20,36102,34
jan -21,37092,55
feb -21,37775,52
mar -21,38214,65
apr -21,38394,69
maj -21,38638,61
jun -21,38488,61
